email,name,profile_score,ratings_score,search_score
user6094@gmail.com,Caroline J.,1.73,5.0,2.06
user9414@gmail.com,Alejandro G.,1.92,3.0,2.03
user3091@yahoo.com,Matthew Ryan H.,1.92,2.0,1.93
user1842@hotmail.com,Christa A.,1.54,5.0,1.88
user6860@verizon.net,Michael E.,1.54,5.0,1.88
user2424@verizon.net,Kristina M.,1.54,4.0,1.78
user4917@t-mobile.com,Mackenzie  S.,1.73,2.0,1.76
user5135@t-mobile.com,Jessica C.,1.35,5.0,1.71
user2311@t-mobile.com,Justin K.,1.35,5.0,1.71
user7812@hotmail.com,Kailyn G.,1.35,5.0,1.71
user3971@hotmail.com,Michelle B.,1.35,5.0,1.71
user6604@yahoo.com,Nelson M.,1.35,5.0,1.71
user7650@verizon.net,Robert S.,1.35,5.0,1.71
user2644@hotmail.com,Sylvia W.,1.35,5.0,1.71
user4691@hotmail.com,Kathryn S.,1.54,3.0,1.68
user9921@t-mobile.com,Kimberly K.,1.54,3.0,1.68
user7287@hotmail.com,Caroline M.,1.73,1.0,1.66
user7903@hotmail.com,Faridah D.,1.35,4.0,1.61
user7759@hotmail.com,Jennifer W.,1.35,4.0,1.61
user4980@gmail.com,Jessica E.,1.35,4.0,1.61
user9029@t-mobile.com,Melissa C.,1.35,4.0,1.61
user5082@t-mobile.com,Samantha O.,1.35,4.0,1.61
user7582@yahoo.com,Sharon H.,1.35,4.0,1.61
user8656@yahoo.com,Anna Marie W.,1.54,2.0,1.58
user2683@hotmail.com,Herlina S.,1.54,2.0,1.58
user5322@t-mobile.com,Lindsay H.,1.54,2.0,1.58
user1690@verizon.net,Kevin H.,1.15,5.0,1.54
user2537@hotmail.com,Marita C.,1.15,5.0,1.54
user4846@hotmail.com,Sandy O.,1.15,5.0,1.54
user6217@gmail.com,William P.,1.15,5.0,1.54
user2983@verizon.net,Chanece W.,1.35,3.0,1.51
user7508@t-mobile.com,Leilani R.,1.35,3.0,1.51
user5411@hotmail.com,Mahgul U.,1.35,3.0,1.51
user7861@yahoo.com,Christa Z.,1.54,1.0,1.48
user2807@hotmail.com,Chris K.,1.15,4.0,1.44
user5598@hotmail.com,Gayle P.,1.15,4.0,1.44
user1932@yahoo.com,Julie X.,1.15,4.0,1.44
user7851@hotmail.com,Rachel  R.,1.15,4.0,1.44
user1969@hotmail.com,Shaina Z.,1.15,4.0,1.44
user1075@gmail.com,Terence A.,1.15,4.0,1.44
user1949@gmail.com,Ashley H.,1.35,2.0,1.41
user5707@yahoo.com,Gaurang P.,1.35,2.0,1.41
user4669@t-mobile.com,Jessica L.,1.35,2.0,1.41
user6702@hotmail.com,Jordan  R.,1.35,2.0,1.41
user1211@yahoo.com,Lyndsey B.,1.35,2.0,1.41
user8248@t-mobile.com,Maureen  B.,1.35,2.0,1.41
user3341@gmail.com,Stephen W.,1.35,2.0,1.41
user3337@verizon.net,Alex S.,0.96,5.0,1.37
user7345@verizon.net,Carl P.,0.96,5.0,1.37
user5398@verizon.net,Derek K.,0.96,5.0,1.37
user4051@gmail.com,Dina L.,0.96,5.0,1.37
user9866@gmail.com,Ilka A.,0.96,5.0,1.37
user7736@t-mobile.com,Jenny S.,0.96,5.0,1.37
user5760@yahoo.com,Mary A.,0.96,5.0,1.37
user4671@yahoo.com,Meagan M.,0.96,5.0,1.37
user3251@yahoo.com,Robin R.,0.96,5.0,1.37
user3695@yahoo.com,Megan B.,1.15,3.0,1.34
user9792@hotmail.com,Nancy O.,1.15,3.0,1.34
user6178@hotmail.com,Ashley  K.,1.35,1.0,1.31
user6379@t-mobile.com,Chasen   T.,1.35,1.0,1.31
user9612@t-mobile.com,Danielle W.,1.35,1.0,1.31
user5835@yahoo.com,Heather T.,1.35,1.0,1.31
user3123@t-mobile.com,Hilary S.,1.35,1.0,1.31
user5555@gmail.com,Julianna C.,1.35,1.0,1.31
user6407@t-mobile.com,Kandace L.,1.35,1.0,1.31
user9371@hotmail.com,Kristy B.,1.35,1.0,1.31
user4739@gmail.com,Lauren B.,1.35,1.0,1.31
user3489@yahoo.com,Conor H.,0.96,4.0,1.27
user7938@verizon.net,Aksana B.,1.15,2.0,1.24
user3864@yahoo.com,Angie S.,1.15,2.0,1.24
user3697@verizon.net,Kathy D.,1.15,2.0,1.24
user9209@hotmail.com,Randal  W.,1.15,2.0,1.24
user8249@yahoo.com,Reagan N.,1.15,2.0,1.24
user7080@verizon.net,Ricky E.,1.15,2.0,1.24
user4215@hotmail.com,Vanessa B.,1.15,2.0,1.24
user7540@verizon.net,Ben F.,0.77,5.0,1.19
user7442@verizon.net,Leah S.,0.96,3.0,1.17
user7177@verizon.net,Lisa D.,0.96,3.0,1.17
user8635@verizon.net,Paul S.,0.96,3.0,1.17
user6074@t-mobile.com,Tony L.,0.96,3.0,1.17
user9271@yahoo.com,Cooper P.,1.15,1.0,1.14
user8738@gmail.com,Julie W.,1.15,1.0,1.14
user1777@yahoo.com,Nakisa S.,1.15,1.0,1.14
user2655@verizon.net,Nancy B.,1.15,1.0,1.14
user7784@hotmail.com,Shellie C.,1.15,1.0,1.14
user9082@t-mobile.com,Wendy J.,1.15,1.0,1.14
user2847@verizon.net,Dawn M.,0.96,2.0,1.07
user7137@yahoo.com,Tasha J.,0.96,2.0,1.07
user1233@yahoo.com,Huan H.,0.77,3.0,0.99
user6713@gmail.com,Alex F.,0.96,1.0,0.97
user1943@verizon.net,Joei B.,0.96,1.0,0.97
user1349@hotmail.com,Magali M.,0.96,1.0,0.97
user5363@verizon.net,Tessa L.,0.96,1.0,0.97
user5253@hotmail.com,Wanda C.,0.96,1.0,0.97
user1945@yahoo.com,Ali P.,0.77,2.0,0.89
user2738@t-mobile.com,Anne B.,0.77,2.0,0.89
user7112@verizon.net,Anne D.,0.77,1.0,0.79
user9973@hotmail.com,Gwen G.,0.77,1.0,0.79
user9227@t-mobile.com,Pam L.,0.77,1.0,0.79
user6954@verizon.net,BOB M.,0.58,2.0,0.72
user7938@verizon.net,Aksana B.,0,0,0
user7938@verizon.net,Aksana B.,0,0,0
user7938@verizon.net,Aksana B.,0,0,0
user9414@gmail.com,Alejandro G.,0,0,0
user9414@gmail.com,Alejandro G.,0,0,0
user9414@gmail.com,Alejandro G.,0,0,0
user9414@gmail.com,Alejandro G.,0,0,0
user9414@gmail.com,Alejandro G.,0,0,0
user9414@gmail.com,Alejandro G.,0,0,0
user6713@gmail.com,Alex F.,0,0,0
user6713@gmail.com,Alex F.,0,0,0
user6713@gmail.com,Alex F.,0,0,0
user6713@gmail.com,Alex F.,0,0,0
user6713@gmail.com,Alex F.,0,0,0
user3337@verizon.net,Alex S.,0,0,0
user3337@verizon.net,Alex S.,0,0,0
user3337@verizon.net,Alex S.,0,0,0
user3337@verizon.net,Alex S.,0,0,0
user3337@verizon.net,Alex S.,0,0,0
user1945@yahoo.com,Ali P.,0,0,0
user1945@yahoo.com,Ali P.,0,0,0
user1945@yahoo.com,Ali P.,0,0,0
user3864@yahoo.com,Angie S.,0,0,0
user3864@yahoo.com,Angie S.,0,0,0
user3864@yahoo.com,Angie S.,0,0,0
user3864@yahoo.com,Angie S.,0,0,0
user8656@yahoo.com,Anna Marie W.,0,0,0
user8656@yahoo.com,Anna Marie W.,0,0,0
user8656@yahoo.com,Anna Marie W.,0,0,0
user2738@t-mobile.com,Anne B.,0,0,0
user2738@t-mobile.com,Anne B.,0,0,0
user7112@verizon.net,Anne D.,0,0,0
user7112@verizon.net,Anne D.,0,0,0
user7112@verizon.net,Anne D.,0,0,0
user7112@verizon.net,Anne D.,0,0,0
user6178@hotmail.com,Ashley  K.,0,0,0
user6178@hotmail.com,Ashley  K.,0,0,0
user6178@hotmail.com,Ashley  K.,0,0,0
user6178@hotmail.com,Ashley  K.,0,0,0
user6178@hotmail.com,Ashley  K.,0,0,0
user6178@hotmail.com,Ashley  K.,0,0,0
user1949@gmail.com,Ashley H.,0,0,0
user1949@gmail.com,Ashley H.,0,0,0
user1949@gmail.com,Ashley H.,0,0,0
user1949@gmail.com,Ashley H.,0,0,0
user1949@gmail.com,Ashley H.,0,0,0
user6954@verizon.net,BOB M.,0,0,0
user7540@verizon.net,Ben F.,0,0,0
user7540@verizon.net,Ben F.,0,0,0
user7345@verizon.net,Carl P.,0,0,0
user7345@verizon.net,Carl P.,0,0,0
user7345@verizon.net,Carl P.,0,0,0
user6094@gmail.com,Caroline J.,0,0,0
user6094@gmail.com,Caroline J.,0,0,0
user6094@gmail.com,Caroline J.,0,0,0
user6094@gmail.com,Caroline J.,0,0,0
user7287@hotmail.com,Caroline M.,0,0,0
user2983@verizon.net,Chanece W.,0,0,0
user2983@verizon.net,Chanece W.,0,0,0
user2983@verizon.net,Chanece W.,0,0,0
user2983@verizon.net,Chanece W.,0,0,0
user2983@verizon.net,Chanece W.,0,0,0
user6379@t-mobile.com,Chasen   T.,0,0,0
user6379@t-mobile.com,Chasen   T.,0,0,0
user6379@t-mobile.com,Chasen   T.,0,0,0
user6379@t-mobile.com,Chasen   T.,0,0,0
user6379@t-mobile.com,Chasen   T.,0,0,0
user6379@t-mobile.com,Chasen   T.,0,0,0
user2807@hotmail.com,Chris K.,0,0,0
user2807@hotmail.com,Chris K.,0,0,0
user2807@hotmail.com,Chris K.,0,0,0
user2807@hotmail.com,Chris K.,0,0,0
user2807@hotmail.com,Chris K.,0,0,0
user1842@hotmail.com,Christa A.,0,0,0
user1842@hotmail.com,Christa A.,0,0,0
user7861@yahoo.com,Christa Z.,0,0,0
user7861@yahoo.com,Christa Z.,0,0,0
user7861@yahoo.com,Christa Z.,0,0,0
user7861@yahoo.com,Christa Z.,0,0,0
user7861@yahoo.com,Christa Z.,0,0,0
user7861@yahoo.com,Christa Z.,0,0,0
user7861@yahoo.com,Christa Z.,0,0,0
user7861@yahoo.com,Christa Z.,0,0,0
user3489@yahoo.com,Conor H.,0,0,0
user3489@yahoo.com,Conor H.,0,0,0
user9271@yahoo.com,Cooper P.,0,0,0
user9271@yahoo.com,Cooper P.,0,0,0
user9271@yahoo.com,Cooper P.,0,0,0
user9612@t-mobile.com,Danielle W.,0,0,0
user9612@t-mobile.com,Danielle W.,0,0,0
user2847@verizon.net,Dawn M.,0,0,0
user2847@verizon.net,Dawn M.,0,0,0
user2847@verizon.net,Dawn M.,0,0,0
user2847@verizon.net,Dawn M.,0,0,0
user2847@verizon.net,Dawn M.,0,0,0
user5398@verizon.net,Derek K.,0,0,0
user5398@verizon.net,Derek K.,0,0,0
user5398@verizon.net,Derek K.,0,0,0
user5398@verizon.net,Derek K.,0,0,0
user5398@verizon.net,Derek K.,0,0,0
user4051@gmail.com,Dina L.,0,0,0
user4051@gmail.com,Dina L.,0,0,0
user4051@gmail.com,Dina L.,0,0,0
user7903@hotmail.com,Faridah D.,0,0,0
user7903@hotmail.com,Faridah D.,0,0,0
user7903@hotmail.com,Faridah D.,0,0,0
user7903@hotmail.com,Faridah D.,0,0,0
