,email,name,profile_score,ratings_score,search_score
0,user4739@gmail.com,Lauren B.,0,2.5714285714285716,0
1,user7508@t-mobile.com,Leilani R.,0,3.5,0
2,user7582@yahoo.com,Sharon H.,0,2.75,0
3,user7137@yahoo.com,Tasha J.,0,1.6666666666666667,0
4,user1233@yahoo.com,Huan H.,0,3.4285714285714284,0
5,user9866@gmail.com,Ilka A.,0,2.7142857142857144,0
6,user7112@verizon.net,Anne D.,0,2.2,0
7,user1949@gmail.com,Ashley H.,0,3.3333333333333335,0
8,user7736@t-mobile.com,Jenny S.,0,4.0,0
9,user5363@verizon.net,Tessa L.,0,2.5,0
10,user7177@verizon.net,Lisa D.,0,3.5,0
11,user2983@verizon.net,Chanece W.,0,3.3333333333333335,0
12,user1211@yahoo.com,Lyndsey B.,0,2.6,0
13,user2847@verizon.net,Dawn M.,0,3.0,0
14,user2847@verizon.net,Dawn M.,0,3.0,0
15,user3697@verizon.net,Kathy D.,0,2.5454545454545454,0
16,user5135@t-mobile.com,Jessica C.,0,3.4285714285714284,0
17,user1943@verizon.net,Joei B.,0,4.0,0
18,user1777@yahoo.com,Nakisa S.,0,3.0,0
19,user2983@verizon.net,Chanece W.,0,3.3333333333333335,0
20,user6713@gmail.com,Alex F.,0,2.5,0
21,user9973@hotmail.com,Gwen G.,0,3.8,0
22,user6604@yahoo.com,Nelson M.,0,2.4285714285714284,0
23,user8249@yahoo.com,Reagan N.,0,3.2,0
24,user7508@t-mobile.com,Leilani R.,0,3.5,0
25,user8738@gmail.com,Julie W.,0,3.0,0
26,user7851@hotmail.com,Rachel  R.,0,4.0,0
27,user9612@t-mobile.com,Danielle W.,0,2.3333333333333335,0
28,user4669@t-mobile.com,Jessica L.,0,2.8,0
29,user9082@t-mobile.com,Wendy J.,0,2.6666666666666665,0
30,user1777@yahoo.com,Nakisa S.,0,3.0,0
31,user2807@hotmail.com,Chris K.,0,3.8333333333333335,0
32,user4671@yahoo.com,Meagan M.,0,3.2857142857142856,0
33,user7177@verizon.net,Lisa D.,0,3.5,0
34,user5363@verizon.net,Tessa L.,0,2.5,0
35,user7784@hotmail.com,Shellie C.,0,1.8,0
36,user1211@yahoo.com,Lyndsey B.,0,2.6,0
37,user1969@hotmail.com,Shaina Z.,0,4.5,0
38,user5363@verizon.net,Tessa L.,0,2.5,0
39,user1945@yahoo.com,Ali P.,0,2.0,0
40,user3697@verizon.net,Kathy D.,0,2.5454545454545454,0
41,user3695@yahoo.com,Megan B.,0,2.0,0
42,user5411@hotmail.com,Mahgul U.,0,3.0,0
43,user4739@gmail.com,Lauren B.,0,2.5714285714285716,0
44,user3251@yahoo.com,Robin R.,0,4.25,0
45,user4917@t-mobile.com,Mackenzie  S.,0,3.0,0
46,user1075@gmail.com,Terence A.,0,3.5,0
47,user8635@verizon.net,Paul S.,0,3.0,0
48,user7582@yahoo.com,Sharon H.,0,2.75,0
49,user1932@yahoo.com,Julie X.,0,3.5,0
